id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
"e2bffa06e6364076818802c54a906d3a","baltimore_city","Wed, 10 Aug 2022 20:59:17 GMT","Wed, 10 Aug 2022 21:01:08 GMT","Police Department - Baltimore, Maryland Incident Report  8/10/2022","PDF","","Public Safety,Incident,Report,Crime,Police,Department","This document contains police department incident report citywide in the city of Baltimore.","","","This work is licensed under a Creative Commons Attribution 3.0 Unported License.",,,"public","CC-BY-3.0","Baltimore City","",""
"dc025c5e56e449cba46aeb626c8da98b","jacobfrance","Tue, 18 Feb 2020 17:17:14 GMT","Wed, 14 Jul 2021 16:56:26 GMT","Juvenile Arrest Rate per 1,000 Juveniles","Feature Service","The number of persons aged 10 to 17 arrested per 1,000 juveniles that live in an area. This indicator is calculated by where the arrested juvenile was arrested and not by where the crime is committed. Arrests are used instead of crimes committed since not all juveniles that are arrested are charged with committing a crime. This indicator also excludes offenders who are later charged as adults for their crime(s). Source: Baltimore City Police Department Years Available: 2011, 2012, 2013, 2014, 2015","crime,2011,2012,2013,2014,2015,public safety","The number of persons aged 10 to 17 arrested per 1,000 juveniles that live in an area. This indicator is calculated by where the arrested juvenile was arrested and not by where the crime is committed.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Juvarr/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383596785,-76.52895092488556,39.37256605526499",""
"e6ca4eadecdc475a961f68bc314e2a86","baltimore_city","Fri, 25 Jun 2021 20:25:37 GMT","Fri, 19 Jul 2024 22:26:02 GMT","Crime Codes","Microsoft Excel","This document contains data dictionary of crime codes for the dataset Part 1 Crime Data.","Codes,Crime,data dictionary,Part 1 Crime","This document contains data dictionary of crime codes","","","",,,"public","none","Baltimore City","-8539852.472304652,4758925.557563297,-8518445.734225107,4770635.271085186",""
"e8f14ab665424a878dd32ddc150e9d75","baltimore_city","Tue, 30 May 2023 20:33:03 GMT","Mon, 05 Jun 2023 00:16:39 GMT","Baltimore City Fiscal 2022 Budget Data","Feature Service","This document represents fiscal budget data for 2022, for more information please view data-dictionary","Fiscal year,Budget,Raw,Data","This dataset represents the 2022 Fiscal Year Budget data for the City of Baltimore. For more information including metadata and a data dictionary please visit https://bbmr.baltimorecity.gov/data-dictionary","","","","en-us","https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/Baltimore_City_Fiscal_2022_Budget_Data_New/FeatureServer","public","none","Baltimore City","",""
"de900e33a3784c91a643678a61b059b5","jacobfrance","Thu, 27 Feb 2020 16:44:12 GMT","Mon, 08 Jul 2024 17:57:33 GMT","Percent of Residents - Asian (Non-Hispanic)","Feature Service","The percentage of persons, out of the total number of persons living in an area, self-identifying as Asian (and non-Hispanic). “Asian” refers to a person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. Source: U.S. Census Bureau, American Community Survey Years Available: 2010, 2011-2015, 2012-2016, 2013-2017, 2014-2018, 2015-2019, 2020, 2017-2021, 2018-2022","census","The percentage of persons, out of the total number of persons living in an area, self-identifying as Asian (and non-Hispanic). ","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pasi/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383281496,-76.52895084597277,39.37256605526499",""
"00cc027a5a1a4b2ca19df444462c0db4","jacobfrance","Mon, 23 Mar 2020 19:27:13 GMT","Mon, 15 Jul 2024 21:18:34 GMT","Number of New Construction Permits per 1,000 Residential Properties","Feature Service","The number of permits issued for new residential buildings per 1,000 existing residential properties within a community. The permits are analyzed by date of issue and not date of completion. Source: Baltimore Department of Housing and Community Development Years Available: 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022","housing","The number of permits issued for new residential buildings per 1,000 existing residential properties within a community. The permits are analyzed by date of issue and not date of completion.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Constper/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383281496,-76.52895084597277,39.37256605526499",""
"f382af447fc84817906719ed3721d614","baltimore_city","Fri, 19 Apr 2024 12:48:09 GMT","Wed, 24 Apr 2024 17:32:01 GMT","911 Calls for Service 2021","Feature Service","This dataset represents the Police Emergency and Non-Emergency calls to 911 in the 2021 calendar year.","911,Calls for Service,Emergency Calls for Service,Non-Emergency Calls for Service,Public Safety,Crime,Fire,Fire Department,BCFD,Police,Police Department,BPD,BCPD,2021","This dataset represents the Police Emergency and Non-Emergency calls to 911 in the 2021 calendar year.","","","","en-us","https://services1.arcgis.com/UWYHeuuJISiGmgXx/ArcGIS/rest/services/911_2013_2022/FeatureServer/8","public","none","Baltimore City","",""
"e95c038fa95645068fa26e92290d0dac","baltimore_city","Fri, 29 Dec 2023 14:06:48 GMT","Mon, 15 Jan 2024 00:49:53 GMT","Police Department -Baltimore, Maryland Incident Report Week Ending 12/24/2023","PDF","","","This document contains citywide crime incident reports from the Baltimore Police Department for the City of Baltimore for the week ending 12/24/2023. For any questions related to this data set please contact the Baltimore Police Department","","","",,,"public","none","Baltimore City","-76.71479999997021,39.25959999998464,-76.52249999997024,39.340999999984646",""
"ebf53cd13e164a96b1f890c7162cf8c7","jacobfrance","Fri, 27 Mar 2020 19:48:20 GMT","Wed, 14 Jul 2021 16:58:21 GMT","Average Healthy Food Availability Index","Feature Service","The Johns Hopkins Center for a Livable Future (CLF) calculated HFAI scores for all food stores in Baltimore, in summer 2012, using an adapted version of the NEMS-S (Nutrition Environment Measures Survey in Stores) tool. The NEMS-S tool was developed by researchers at the Rollins School of Public Health at Emory University to measure the nutritional environment of food retail stores and was designed to assess healthy food availability in grocery and convenience stores. CLF obtained a food permit list from the Baltimore City Health Department in August 2011, which includes all sites that sell food, such as stores, restaurants, and temporary locations such as farmers' market stands and street carts. HFAI scores range from zero to 28.5, with higher scores indicating more availability of healthy and whole food in a food store. Source: Johns Hopkins University, Center for a Livable Future Years Available: 2012, 2015","health,2012,2015","The Johns Hopkins Center for a Livable Future (CLF) calculated HFAI scores for all food stores in Baltimore, in summer 2012, using an adapted version of the NEMS-S (Nutrition Environment Measures Survey in Stores) tool.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hfai/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383596785,-76.52895092488556,39.37256605526499",""
"f668ccb1fdfd488fa6ed2b8cb8225b5f","jacobfrance","Mon, 30 Mar 2020 14:16:34 GMT","Wed, 14 Jul 2021 16:58:08 GMT","Kindergarten Readiness","Feature Service","The Kindergarten Readiness Assessment (KRA) measure children?s readiness to do kindergarten work. The KRA is a developmentally appropriate assessment tool that measures of incoming public-school kindergarteners across four learning domains. A child is considered to be ready for kindergarten if assessed as ""demonstrating"" the foundational skills and behaviors that prepare him/her for curriculum based on the kindergarten standards. Source: Baltimore City Public School System Years Available: 2016, 2017","education,2016,2017","The Kindergarten Readiness Assessment (KRA) measure children?s readiness to do kindergarten work. The KRA is a developmentally appropriate assessment tool that measures of incoming public-school kindergarteners across four learning domains.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Kra/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383596785,-76.52895092488556,39.37256605526499",""
"c07603c101824ce7819fdbc98be5e4c6","baltimore_city","Thu, 12 May 2022 12:46:32 GMT","Thu, 12 May 2022 12:48:41 GMT","Police Department - Baltimore, Maryland Incident Report 5/12/2022","PDF","This document contains police department incident report citywide in the city of Baltimore.","Police,Incident,Department,Report,Public Safety","","","","This work is licensed under a Creative Commons Attribution 3.0 Unported License.",,,"public","CC-BY-3.0","Baltimore City","-8539852.472304652,4758925.557563297,-8518445.734225107,4770635.271085186",""
"c03af759c7d4406c8bca028dfb7acdc5","jacobfrance","Thu, 26 Mar 2020 15:22:32 GMT","Fri, 17 May 2024 13:14:24 GMT","Number of Employees in the Creative Economy","Feature Service","The number of persons employed in the creative economy (both for-profit and non-profit). This number does not count those persons who identify themselves as being artists and does not count sole proprietorships or persons who work part-time in the arts. The same industries used to calculate the rate businesses in the creative economy are used to calculate total employment in the creative economy. Source: InfoUSA Years Available: 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022","arts","The number of persons employed in the creative economy (both for-profit and non-profit).","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Ceemp/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.7120969241044,39.197164383281496,-76.52895084597276,39.372566055262084",""
"b65a0dc47c34484594b4943f917f8527","jacobfrance","Tue, 24 Mar 2020 16:41:41 GMT","Wed, 14 Jul 2021 16:33:03 GMT","Percentage of Properties Under Mortgage Foreclosure","Feature Service","The percentage of properties where the lending company or loan servicer has filed a foreclosure proceeding with the Baltimore City Circuit Court out of all residential properties within an area. This is not a measure of actual foreclosures since not every property that receives a filing results in a property dispossession. Source: Baltimore City Circuit Court Years Available: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020","housing, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, housing & development","The percentage of properties where the lending company or loan servicer has filed a foreclosure proceeding with the Baltimore City Circuit Court out of all residential properties within an area.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Fore/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692294688,39.197164383281496,-76.52895084597276,39.37256605525925",""
"c1b97adfcaa84632956a1777099e0282","jacobfrance","Wed, 18 Mar 2020 16:49:54 GMT","Wed, 14 Jul 2021 16:26:29 GMT","Percent of Births Delivered at Term (37-42 Weeks)","Feature Service","The percentage of births delivered at term measures the percentage of births in a calendar year where the baby is delivered between 37 and 42 weeks of gestation. Source: Maryland Department of Vital Statistics Years Available: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","health, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","The percentage of births delivered at term measures the percentage of births in a calendar year where the baby is delivered between 37 and 42 weeks of gestation.","","Baltimore Neighborhood Indicators Alliance - Jacob France Institute (bniajfi.org)","","en-us","https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Termbir/FeatureServer","public","none","Baltimore Neighborhood Indicators Alliance","-76.71209692528068,39.197164383281496,-76.52895084597277,39.37256605526499",""
"a1693d4890d4421da0a2dba9761b94be","baltimore_city","Wed, 17 Apr 2024 12:45:04 GMT","Wed, 17 Apr 2024 12:45:04 GMT","Police Department -Baltimore, Maryland Incident Report Week Ending 04/13/2024","PDF","","Police,Public Safety","This document contains citywide crime incident reports from the Baltimore Police Department for the City of Baltimore for the week ending 04/13/2024. For any questions related to this data set please contact the Baltimore Police Department.","","","",,,"public","none","Baltimore City","-76.71479999996633,39.25959999998263,-76.52249999996634,39.34099999998264",""
